SegnaleDiscorsivo,frequenza,ngram1,ngram1_freq,ngram2,ngram2_freq,ngram3,ngram3_freq,ngram4,ngram4_freq,ngram5,ngram5_freq,ngram6,ngram6_freq,ngram7,ngram7_freq,ngram8,ngram8_freq,ngram9,ngram9_freq,ngram10,ngram10_freq,ngram11,ngram11_freq,ngram12,ngram12_freq,ngram13,ngram13_freq,ngram14,ngram14_freq,ngram15,ngram15_freq,ngram16,ngram16_freq,ngram17,ngram17_freq,ngram18,ngram18_freq,ngram19,ngram19_freq,ngram20,ngram20_freq,ngram21,ngram21_freq,ngram22,ngram22_freq,ngram23,ngram23_freq,ngram24,ngram24_freq,ngram25,ngram25_freq,ngram26,ngram26_freq,ngram27,ngram27_freq
eh,30666,eh sì,1446,eh eh,843,eh ma,564,eh no,550.0,eh mh,481.0,sì eh,328.0,eh beh,303.0,eh vabbè,252.0,no eh,248.0,eh cioè,240.0,eh infatti,237.0,eh quindi,189.0,però eh,171.0,eh perché,170.0,eh certo,168.0,eh allora,167.0,eh poi,149.0,poi eh,137.0,mh eh,134.0,ah eh,129.0,eh anche,127.0,quindi eh,126.0,eh perchè,108.0,eh diciamo,105.0,eh sì sì,138.0,eh eh eh,132.0,eh lo so,101.0
mh,23000,mh mh,4887,eh mh,481,mh no,161,mh sì,161.0,mh eh,134.0,mh cioè,125.0,però mh,117.0,mh mh mh,1509.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ma,18594,no ma,1102,sì ma,741,eh ma,564,ma anche,534.0,ma poi,472.0,ma no,325.0,ma sì,278.0,ma infatti,276.0,vabbè ma,238.0,ah ma,184.0,beh ma,131.0,ma ma,108.0,ma quindi,108.0,ma comunque,106.0,cioè ma,100.0,no no ma,158.0,,,,,,,,,,,,,,,,,,,,,,
cioè,14281,eh cioè,240,no cioè,168,cioè proprio,149,sì cioè,144.0,quindi cioè,127.0,cioè tipo,126.0,mh cioè,125.0,però cioè,123.0,cioè ma,100.0,cioè nel senso,455.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
poi,12949,e poi,2863,che poi,825,poi dopo,480,ma poi,472.0,perché poi,305.0,perchè poi,206.0,però poi,181.0,poi vabbè,161.0,eh poi,149.0,sì poi,145.0,poi magari,144.0,poi eh,137.0,poi alla fine,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quindi,12146,e quindi,2793,quindi sì,210,eh quindi,189,okay quindi,159.0,quindi cioè,127.0,ah quindi,126.0,quindi eh,126.0,quindi si,119.0,quindi diciamo,116.0,quindi comunque,114.0,quindi questo,110.0,ma quindi,108.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ah,9173,ah okay,945,ah sì,471,ah beh,384,ah no,282.0,ah ma,184.0,ah sì?,151.0,ah eh,129.0,ah quindi,126.0,ah ecco,118.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
okay,7261,ah okay,945,okay okay,323,okay quindi,159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
così,5246,e così,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
allora,5159,e allora,607,eh allora,167,no allora,116,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mhmh,5138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
comunque,4990,perché comunque,225,perchè comunque,209,però comunque,192,e comunque,168.0,quindi comunque,114.0,ma comunque,106.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
proprio,4801,cioè proprio,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ehm,4584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
adesso,4344,e adesso,179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tipo,4297,che tipo,163,cioè tipo,126,e tipo,102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bene,3899,va bene,1434,bene o male,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vabbè,3748,no vabbè,339,eh vabbè,252,vabbè ma,238,poi vabbè,161.0,e vabbè,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magari,3633,poi magari,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
diciamo,3406,diciamo che,645,quindi diciamo,116,eh diciamo,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
certo,3167,eh certo,168,sì certo,148,certo certo,122,no certo,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
solo,3052,solo che,354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
beh,2975,ah beh,384,eh beh,303,beh sì,200,beh ma,131.0,no beh,103.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
su,2769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
insomma,2723,però insomma,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
già,2697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ecco,2597,ah ecco,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tanto,2420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
infatti,2349,ma infatti,276,eh infatti,237,no infatti,212,sì infatti,211.0,e infatti,171.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
niente,2207,e niente,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
via,2206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
no?,2200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esatto,2056,sì esatto,219,esatto esatto,134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
appunto,1909,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dai,1896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forse,1852,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ricordo,1770,mi ricordo,1153,non mi ricordo,499,me lo ricordo,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vero,1763,è vero,1289,non è vero,166,sì è vero,164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
capito,1664,ho capito,917,capito che,117,hai capito,100,non ho capito,113.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
visto,1640,ho visto,478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dice,1627,si dice,227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
esempio,1524,per esempio,797,ad esempio,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bello,1514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fine,1461,alla fine,1068,poi alla fine,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sai,1444,lo sai,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vai,1422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fai,1415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dico,1379,ti dico,256,non dico,145,io dico,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
punto,1370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
gente,1364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
guarda,1145,guarda che,268,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
veramente,1123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
praticamente,1079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
posso,1050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ehmh,1045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
penso,1021,io penso,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
boh,985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pure,983,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
oh,981,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ora,946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sa,940,mi sa,290,si sa,114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ovviamente,923,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
abbastanza,922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sembra,921,mi sembra,388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grazie,917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andata,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bella,903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vedi,897,vedi che,130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
grande,876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
problema,819,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eccetera,780,eccetera eccetera,139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
basta,771,e basta,232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
quasi,766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
meglio,741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cazzo,738,che cazzo,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sicuramente,725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dici,724,che dici,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
soprattutto,704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
facciamo,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
almeno,672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
momento,656,un momento,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eh?,655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vedo,636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
andiamo,628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
assolutamente,580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
giusto,556,è giusto,122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
avanti,524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sì?,508,ah sì?,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
scusa,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mo,493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mah,486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
buono,479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
madonna,459,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chiaro,458,è chiaro,167,chiaro che,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
effettivamente,456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aspetta,449,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vede,447,si vede,273,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vediamo,445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cioé,444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
senti,442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
